x,y,z
-1.86691296100616,0.6953986287117,18.3118991851807
-1.8407289981842,0.727649569511414,18.6564178466797
-1.81077146530151,0.742021262645721,18.9816360473633
-1.7799369096756,0.736569881439209,19.335033416748
-1.76426637172699,0.70618611574173,19.692361831665
-1.75076282024384,0.662166833877564,20.0337600708008
-1.75170540809631,0.597547590732574,20.3792476654053
-1.75426113605499,0.527536571025848,20.7147197723389
-1.7602459192276,0.444657742977142,21.0784931182861
-1.76823949813843,0.357914477586746,21.4500732421875
-1.77825379371643,0.273834258317947,21.8032836914062
-1.79548823833466,0.187893941998482,22.1648540496826
-1.81701838970184,0.108220599591732,22.4958992004395
-1.84857642650604,0.030263755470514,22.8406391143799
-1.88423097133636,-0.037808686494827,23.1699028015137
-1.91603684425354,-0.088826142251492,23.4778366088867
-1.94190180301666,-0.132664188742638,23.8165607452393
-1.96343123912811,-0.169431030750275,24.1502075195312
-1.98161280155182,-0.196035802364349,24.4662742614746
-1.99907279014587,-0.216192200779915,24.8036422729492
-2.01238489151001,-0.222778871655464,25.1468906402588
-2.02331137657166,-0.218801826238632,25.4815063476562
-2.02862501144409,-0.200117915868759,25.8461418151855
-2.02657318115234,-0.170961111783981,26.209379196167
-2.0261561870575,-0.13947094976902,26.5892429351807
-2.02677631378174,-0.112307913601398,26.9508266448975
-2.0321216583252,-0.087254464626312,27.3207263946533
-2.04407858848572,-0.071978107094765,27.6744003295898
-2.05633163452148,-0.062158852815628,28.006685256958
-2.06877064704895,-0.056947562843561,28.3693866729736
-2.08062839508057,-0.056853227317333,28.7340526580811
-2.08726024627686,-0.061178587377071,29.0732803344727
-2.08670496940613,-0.06316439062357,29.4224300384521
-2.08639168739319,-0.06917092949152,29.780122756958
-2.09160661697388,-0.075925968587399,30.1173801422119
-2.09877824783325,-0.083517797291279,30.4681091308594
-2.10391044616699,-0.09192955493927,30.7971363067627
-2.11293458938599,-0.101892091333866,31.1491832733154
-2.11907815933228,-0.111291408538818,31.4987316131592
-2.1234347820282,-0.114314965903759,31.8284378051758
-2.13131880760193,-0.118058547377586,32.1827507019043
-2.13730239868164,-0.118005663156509,32.528247833252
-2.1453914642334,-0.119318164885044,32.8473205566406
-2.15138006210327,-0.124020472168922,33.1886253356934
-2.1539900302887,-0.124273933470249,33.5115547180176
-2.15337824821472,-0.123694606125355,33.8601722717285
-2.14988923072815,-0.125377267599106,34.2059059143066
