time,header,pose
2022/10/11 14:15:49.881068445,"{'stamp': {'secs': 1665490549, 'nsecs': 879500603}, 'frame_id': 'map'}","{'position': {'x': -0.011967547237873077, 'y': -0.0032098807860165834, 'z': -0.08979308605194092}, 'orientation': {'x': 0.006658256230171728, 'y': -0.00272920287634631, 'z': 0.01039670029697043, 'w': -0.9999200724609523}}"
2022/10/11 14:15:49.967100245,"{'stamp': {'secs': 1665490549, 'nsecs': 910489457}, 'frame_id': 'map'}","{'position': {'x': -0.01217445358633995, 'y': -0.00307853682897985, 'z': -0.09139104932546616}, 'orientation': {'x': 0.006682880855686472, 'y': -0.0027272980363569708, 'z': 0.010400240632245372, 'w': -0.9999199038735582}}"
2022/10/11 14:15:49.969950192,"{'stamp': {'secs': 1665490549, 'nsecs': 943355217}, 'frame_id': 'map'}","{'position': {'x': -0.01252167858183384, 'y': -0.0029482466634362936, 'z': -0.09312322735786438}, 'orientation': {'x': 0.006685441770641889, 'y': -0.002726536923541869, 'z': 0.01042156693759183, 'w': -0.9999196509924672}}"
2022/10/11 14:15:49.984289064,"{'stamp': {'secs': 1665490549, 'nsecs': 979243149}, 'frame_id': 'map'}","{'position': {'x': -0.01311893854290247, 'y': -0.002793271094560623, 'z': -0.09523963928222656}, 'orientation': {'x': 0.006692518489924672, 'y': -0.0027320265505604135, 'z': 0.010426203090928066, 'w': -0.9999195666987701}}"
2022/10/11 14:15:50.17884596,"{'stamp': {'secs': 1665490550, 'nsecs': 10612607}, 'frame_id': 'map'}","{'position': {'x': -0.013573020696640015, 'y': -0.002707228995859623, 'z': -0.0966702401638031}, 'orientation': {'x': 0.006714105578896345, 'y': -0.0027490453162802107, 'z': 0.010429026929778262, 'w': -0.9999193559645276}}"
2022/10/11 14:15:50.52197253,"{'stamp': {'secs': 1665490550, 'nsecs': 46250220}, 'frame_id': 'map'}","{'position': {'x': -0.013807849027216434, 'y': -0.0025802813470363617, 'z': -0.09802389144897461}, 'orientation': {'x': 0.006724497246596185, 'y': -0.002730984897784911, 'z': 0.010448583067487305, 'w': -0.9999191030834365}}"
2022/10/11 14:15:50.88711493,"{'stamp': {'secs': 1665490550, 'nsecs': 78870378}, 'frame_id': 'map'}","{'position': {'x': -0.012639420107007027, 'y': -0.002348182490095496, 'z': -0.09806325286626816}, 'orientation': {'x': 0.0066962069977138826, 'y': -0.0027151302741191007, 'z': 0.01048959195108834, 'w': -0.999918892349194}}"
2022/10/11 14:15:50.117068494,"{'stamp': {'secs': 1665490550, 'nsecs': 111552288}, 'frame_id': 'map'}","{'position': {'x': -0.011971504427492619, 'y': -0.002173279644921422, 'z': -0.09818558394908905}, 'orientation': {'x': 0.006713289806887081, 'y': -0.0027193230623653, 'z': 0.010481036140840727, 'w': -0.9999188502023455}}"
2022/10/11 14:15:50.145745815,"{'stamp': {'secs': 1665490550, 'nsecs': 142298102}, 'frame_id': 'map'}","{'position': {'x': -0.01150425337255001, 'y': -0.001996271312236786, 'z': -0.0986483246088028}, 'orientation': {'x': 0.006708751776682572, 'y': -0.0027257142368152716, 'z': 0.010499370019943, 'w': -0.999918639468103}}"
2022/10/11 14:15:50.185146981,"{'stamp': {'secs': 1665490550, 'nsecs': 179666709}, 'frame_id': 'map'}","{'position': {'x': -0.01121501438319683, 'y': -0.0018341117538511753, 'z': -0.09915710985660553}, 'orientation': {'x': 0.006706365211385643, 'y': -0.00275093319874847, 'z': 0.010467296268226178, 'w': -0.9999190187897395}}"
2022/10/11 14:15:50.283774021,"{'stamp': {'secs': 1665490550, 'nsecs': 210684140}, 'frame_id': 'map'}","{'position': {'x': -0.011100060306489468, 'y': -0.0016860882751643658, 'z': -0.0998954176902771}, 'orientation': {'x': 0.006723520954363102, 'y': -0.0027690635875977417, 'z': 0.010435601838145958, 'w': -0.9999191873771336}}"
2022/10/11 14:15:50.286073325,"{'stamp': {'secs': 1665490550, 'nsecs': 243149667}, 'frame_id': 'map'}","{'position': {'x': -0.011136463843286037, 'y': -0.0015406471211463213, 'z': -0.10075519233942032}, 'orientation': {'x': 0.006729464977092153, 'y': -0.0027777445213019703, 'z': 0.010406099044188322, 'w': -0.9999193559645276}}"
2022/10/11 14:15:50.288412154,"{'stamp': {'secs': 1665490550, 'nsecs': 282993383}, 'frame_id': 'map'}","{'position': {'x': -0.011379876174032688, 'y': -0.0013532430166378617, 'z': -0.10204629600048065}, 'orientation': {'x': 0.006702576769467345, 'y': -0.0027610173261630824, 'z': 0.010418869539287112, 'w': -0.9999194824050731}}"
2022/10/11 14:15:50.325097511,"{'stamp': {'secs': 1665490550, 'nsecs': 320464675}, 'frame_id': 'map'}","{'position': {'x': -0.011725125834345818, 'y': -0.001207223511300981, 'z': -0.10324013233184814}, 'orientation': {'x': 0.006690136699075425, 'y': -0.0027604452156217724, 'z': 0.01038949318587501, 'w': -0.9999198617267098}}"
2022/10/11 14:15:50.351188185,"{'stamp': {'secs': 1665490550, 'nsecs': 350182772}, 'frame_id': 'map'}","{'position': {'x': -0.012199843302369118, 'y': -0.001062914845533669, 'z': -0.1045609787106514}, 'orientation': {'x': 0.006685568705095803, 'y': -0.00275186207577698, 'z': 0.010373350942895376, 'w': -0.9999200724609523}}"
2022/10/11 14:15:50.395789100,"{'stamp': {'secs': 1665490550, 'nsecs': 392550797}, 'frame_id': 'map'}","{'position': {'x': -0.012779745273292065, 'y': -0.0009262138628400862, 'z': -0.10608106851577759}, 'orientation': {'x': 0.006676329490284933, 'y': -0.0027543314530457876, 'z': 0.010344606792210997, 'w': -0.9999204096357404}}"
2022/10/11 14:15:50.434229854,"{'stamp': {'secs': 1665490550, 'nsecs': 429135386}, 'frame_id': 'map'}","{'position': {'x': -0.013449259102344513, 'y': -0.0007779032457619905, 'z': -0.10768122971057892}, 'orientation': {'x': 0.0067078522048846685, 'y': -0.002735399450894174, 'z': 0.01035400553942889, 'w': -0.9999201989014979}}"
2022/10/11 14:15:50.468296604,"{'stamp': {'secs': 1665490550, 'nsecs': 463105481}, 'frame_id': 'map'}","{'position': {'x': -0.013116800226271152, 'y': -0.000653097580652684, 'z': -0.10837681591510773}, 'orientation': {'x': 0.006733682296121275, 'y': -0.002707936827822279, 'z': 0.010343721708392206, 'w': -0.9999201989014979}}"
2022/10/11 14:15:50.503416487,"{'stamp': {'secs': 1665490550, 'nsecs': 501018505}, 'frame_id': 'map'}","{'position': {'x': -0.011639298871159554, 'y': -0.0005110667552798986, 'z': -0.10805478692054749}, 'orientation': {'x': 0.006729257370936012, 'y': -0.002747514858843659, 'z': 0.010391136912966892, 'w': -0.9999196509924673}}"
